marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat
nissan,micra,1.2 match,2014,benzin,duz,1198 cc,80 hp,29.000 km,belirtilmemis,takasa uygun,galeriden,139.000 TL
nissan,micra,1.2 tekna,2011,benzin,otomatik,1198 cc,80 hp,72.000 km,"3 degisen, 2 boyali",takasa uygun degil,sahibinden,144.000 TL
nissan,note,1.5 dci visia,2009,dizel,duz,1461 cc,86 hp,266.000 km,belirtilmemis,takasa uygun degil,sahibinden,230.000 TL
nissan,note,1.5 dci tekna,2013,dizel,duz,1461 cc,90 hp,138.000 km,"1 degisen, 3 boyali",takasa uygun,sahibinden,139.500 TL
nissan,350 z,roadster,2017,benzin,otomatik,3001 - 3500 cm3,326 - 350 hp,0 km,belirtilmemis,takasa uygun,galeriden,1.640.000 TL
nissan,micra,1.2 passion,2009,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,112.000 km,"3 degisen, 2 boyali",takasa uygun,galeriden,122.000 TL
nissan,micra,1.2 match,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,39.800 km,belirtilmemis,takasa uygun,galeriden,174.900 TL
nissan,micra,1.3 lx,1996,lpg & benzin,duz,1275 cc,75 hp,210.000 km,belirtilmemis,takasa uygun degil,galeriden,48.500 TL
nissan,pulsar,1.5 tekna,2016,dizel,duz,1461 cc,110 hp,83.000 km,"2 degisen, 2 boyali",takasa uygun degil,sahibinden,154.000 TL
nissan,almera,2.0 d gx,2001,dizel,duz,,,55.000 km,3 boyali,takasa uygun degil,sahibinden,80.000 TL
nissan,primera,1.6,2001,lpg & benzin,duz,,,350.000 km,1 degisen,takasa uygun degil,sahibinden,70.000 TL
nissan,primera,1.6 gx,1999,benzin,duz,1597 cc,100 hp,260.000 km,belirtilmemis,takasa uygun degil,sahibinden,65.000 TL
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,167.000 km,5 boyali,takasa uygun degil,sahibinden,92.500 TL
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,260.000 km,belirtilmemis,takasa uygun,galeriden,81.500 TL
nissan,micra,1.0 ig-t tekna,2021,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,0 km,belirtilmemis,takasa uygun,galeriden,304.000 TL
nissan,micra,1.2 match,2018,benzin,otomatik,1198 cc,80 hp,40.000 km,belirtilmemis,takasa uygun,sahibinden,195.000 TL
nissan,micra,1.2 match,2018,benzin,otomatik,1198 cc,80 hp,29.500 km,tamami orjinal,takasa uygun degil,sahibinden,200.000 TL
nissan,maxima,2.0 qx,2004,lpg & benzin,otomatik,1995 cc,140 hp,255.000 km,belirtilmemis,takasa uygun,galeriden,106.000 TL
nissan,micra,1.2 visia,2021,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,0 km,belirtilmemis,takasa uygun,galeriden,255.000 TL
nissan,primera,1.6 comfort,2001,benzin,duz,1597 cc,100 hp,350.000 km,1 degisen,takasa uygun degil,sahibinden,70.000 TL
nissan,primera,1.6 tekna plus,2004,lpg & benzin,duz,1596 cc,109 hp,212.000 km,belirtilmemis,takasa uygun degil,galeriden,88.000 TL
nissan,micra,1.2 passion,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,117.000 km,belirtilmemis,takasa uygun,galeriden,124.750 TL
nissan,micra,1.2 match,2014,benzin,otomatik,1198 cc,80 hp,16.000 km,belirtilmemis,takasa uygun degil,galeriden,177.500 TL
nissan,note,1.5 dci tekna,2012,dizel,duz,,,220.800 km,belirtilmemis,takasa uygun degil,sahibinden,165.000 TL
nissan,micra,1.2 tekna,2010,benzin,otomatik,1240 cc,80 hp,65.000 km,belirtilmemis,takasa uygun degil,galeriden,121.000 TL
nissan,micra,1.2 street,2017,benzin,otomatik,1198 cc,80 hp,55.500 km,belirtilmemis,takasa uygun degil,sahibinden,185.000 TL
nissan,micra,1.2 passion,2013,benzin,otomatik,1198 cc,80 hp,115.000 km,belirtilmemis,takasa uygun,galeriden,159.750 TL
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,80.000 km,3 boyali,takasa uygun,galeriden,177.900 TL
nissan,micra,1.3 gx,1998,benzin,duz,1275 cc,75 hp,233.000 km,tamami boyali,takasa uygun degil,sahibinden,42.000 TL
nissan,pulsar,1.5 tekna,2016,dizel,duz,1461 cc,110 hp,51.000 km,2 boyali,takasa uygun,galeriden,155.000 TL
nissan,micra,1.2 passion,2010,benzin,otomatik,1240 cc,80 hp,75.000 km,1 degisen,takasa uygun degil,sahibinden,131.000 TL
nissan,micra,1.2 street,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,45.000 km,3 boyali,takasa uygun,yetkili bayiden,179.500 TL
nissan,almera,1.5 visia,2006,lpg & benzin,duz,1498 cc,98 hp,220.000 km,belirtilmemis,takasa uygun degil,sahibinden,74.000 TL
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,310.000 km,3 boyali,takasa uygun degil,sahibinden,65.000 TL
nissan,sunny,1.6 slx,1995,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,370.000 km,belirtilmemis,takasa uygun degil,sahibinden,45.000 TL
nissan,micra,1.2 passion,2006,benzin,otomatik,1240 cc,80 hp,151.000 km,belirtilmemis,takasa uygun degil,galeriden,115.900 TL
nissan,micra,1.2 passion,2008,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,97.000 km,belirtilmemis,takasa uygun degil,galeriden,129.900 TL
nissan,note,1.5 dci visia,2009,dizel,duz,1401 - 1600 cm3,76 - 100 hp,206.995 km,belirtilmemis,takasa uygun,galeriden,107.900 TL
nissan,micra,1.2 tekna,2004,benzin,duz,1240 cc,80 hp,208.000 km,2 boyali,takasa uygun,sahibinden,85.000 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,150.000 km,11 boyali,takasa uygun degil,sahibinden,95.000 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,218.000 km,belirtilmemis,takasa uygun degil,sahibinden,81.000 TL
nissan,note,1.6 tekna,2007,benzin,duz,1598 cc,110 hp,203.000 km,belirtilmemis,takasa uygun degil,sahibinden,75.000 TL
nissan,almera,1.5 tekna,2005,lpg & benzin,duz,1498 cc,98 hp,219.000 km,4 degisen,takasa uygun degil,sahibinden,65.500 TL
nissan,micra,1.2 passion,2013,benzin,duz,1198 cc,80 hp,91.000 km,1 degisen,takasa uygun,galeriden,117.750 TL
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,79.136 km,3 boyali,takasa uygun,galeriden,177.900 TL
nissan,micra,1.2 tekna,2005,benzin,otomatik,1240 cc,80 hp,100.000 km,belirtilmemis,takasa uygun degil,galeriden,120.000 TL
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,47.000 km,belirtilmemis,takasa uygun,galeriden,159.000 TL
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,113.750 km,3 boyali,takasa uygun,galeriden,182.500 TL
nissan,primera,1.8 luxury,2000,lpg & benzin,duz,1769 cc,114 hp,430.000 km,belirtilmemis,takasa uygun degil,sahibinden,67.000 TL
