marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat
nissan,primera,1.6 visia,2006,lpg & benzin,duz,1596 cc,109 hp,224.000 km,belirtilmemis,takasa uygun degil,sahibinden,85.000 TL
nissan,micra,1.2 tekna,2007,lpg & benzin,otomatik,1240 cc,80 hp,195.000 km,2 degisen,takasa uygun,sahibinden,85.000 TL
nissan,almera,1.5 tekna,2007,lpg & benzin,duz,1498 cc,98 hp,238.000 km,belirtilmemis,takasa uygun,sahibinden,85.000 TL
nissan,pulsar,1.2 tekna,2017,benzin,otomatik,1197 cc,115 hp,25.000 km,tamami orjinal,takasa uygun degil,sahibinden,210.000 TL
nissan,note,1.5 dci visia,2006,benzin,duz,,,242.500 km,belirtilmemis,takasa uygun degil,sahibinden,95.750 TL
nissan,primera,1.6 tekna,2006,lpg & benzin,duz,1596 cc,109 hp,192.000 km,tamami boyali,takasa uygun,sahibinden,60.000 TL
nissan,micra,1.2 tekna,2003,benzin,otomatik,1240 cc,80 hp,137.000 km,3 degisen,takasa uygun degil,sahibinden,96.000 TL
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,255.000 km,9 boyali,takasa uygun degil,sahibinden,88.500 TL
nissan,primera,1.6 visia,2004,lpg & benzin,duz,1596 cc,109 hp,256.000 km,tamami boyali,takasa uygun,sahibinden,70.000 TL
nissan,primera,1.6 visia,2003,lpg & benzin,duz,1596 cc,109 hp,219.000 km,"1 degisen, 9 boyali",takasa uygun degil,sahibinden,76.000 TL
nissan,micra,1.2 passion,2010,benzin,otomatik,1240 cc,80 hp,92.000 km,tamami orjinal,takasa uygun degil,sahibinden,140.000 TL
nissan,note,1.6 tekna,2006,benzin,duz,1598 cc,110 hp,125.000 km,belirtilmemis,takasa uygun degil,sahibinden,112.000 TL
nissan,nx coupe,1.6,1991,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,278.000 km,belirtilmemis,takasa uygun,galeriden,55.000 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,185.000 km,4 boyali,takasa uygun,sahibinden,92.000 TL
nissan,micra,1.2 tekna,2007,lpg & benzin,otomatik,1240 cc,80 hp,166.000 km,belirtilmemis,takasa uygun,galeriden,119.750 TL
nissan,micra,1.2 passion,2007,benzin,duz,1240 cc,80 hp,174.500 km,"1 degisen, 4 boyali",takasa uygun degil,sahibinden,89.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,308.000 km,belirtilmemis,takasa uygun,sahibinden,70.000 TL
nissan,primera,1.6 lx,1992,lpg & benzin,duz,1597 cc,90 hp,330.000 km,1 boyali,takasa uygun degil,sahibinden,52.000 TL
nissan,primera,2.0 se,1995,lpg & benzin,duz,,,192.000 km,belirtilmemis,takasa uygun degil,sahibinden,39.900 TL
nissan,maxima,2.0 qx,2004,lpg & benzin,otomatik,1995 cc,140 hp,252.000 km,"2 degisen, 9 boyali",takasa uygun,galeriden,111.900 TL
nissan,primera,2.0 se,1997,lpg & benzin,duz,1998 cc,130 hp,370.000 km,tamami boyali,takasa uygun degil,sahibinden,65.000 TL
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,106 hp,290.000 km,belirtilmemis,takasa uygun,sahibinden,77.500 TL
nissan,primera,2.0 se,1997,lpg & benzin,duz,1998 cc,130 hp,260.000 km,"2 degisen, 6 boyali",takasa uygun,sahibinden,48.000 TL
nissan,almera,1.5 comfort,2001,lpg & benzin,duz,1497 cc,90 hp,247.500 km,"3 degisen, 1 boyali",takasa uygun degil,sahibinden,86.750 TL
nissan,primera,1.6 visia,2004,benzin,duz,1596 cc,109 hp,180.000 km,"1 degisen, 7 boyali",takasa uygun degil,sahibinden,93.750 TL
nissan,almera,1.5 luxury,2001,lpg & benzin,duz,1497 cc,90 hp,288.000 km,belirtilmemis,takasa uygun degil,sahibinden,68.500 TL
nissan,note,1.5 dci tekna,2013,dizel,duz,1461 cc,90 hp,199.000 km,belirtilmemis,takasa uygun degil,sahibinden,155.250 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,206.000 km,belirtilmemis,takasa uygun degil,sahibinden,72.500 TL
nissan,note,1.2 visia,2014,benzin,duz,1198 cc,80 hp,52.000 km,belirtilmemis,takasa uygun degil,sahibinden,125.000 TL
nissan,primera,1.6 visia,2004,benzin,duz,1596 cc,109 hp,211.000 km,"1 degisen, 2 boyali",takasa uygun,sahibinden,94.500 TL
nissan,primera,2.0 td luxe,2000,dizel,duz,1974 cc,90 hp,265.000 km,"3 degisen, 6 boyali",takasa uygun,galeriden,47.500 TL
nissan,micra,1.3 gx,1998,lpg & benzin,otomatik,1275 cc,75 hp,258.000 km,belirtilmemis,takasa uygun degil,sahibinden,57.500 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,300.000 km,tamami orjinal,takasa uygun degil,sahibinden,67.500 TL
nissan,primera,1.6 tekna,2006,lpg & benzin,duz,1596 cc,109 hp,357.000 km,belirtilmemis,takasa uygun,sahibinden,67.000 TL
nissan,micra,1.2 tekna,2005,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,129.000 km,belirtilmemis,takasa uygun degil,galeriden,117.900 TL
nissan,note,1.5 dci visia,2008,dizel,duz,,,155.000 km,belirtilmemis,takasa uygun degil,sahibinden,130.000 TL
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,299.000 km,tamami orjinal,takasa uygun degil,sahibinden,56.500 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,250.000 km,belirtilmemis,takasa uygun,sahibinden,57.500 TL
nissan,primera,2.0 se,1997,lpg & benzin,duz,1998 cc,130 hp,135.500 km,belirtilmemis,takasa uygun degil,sahibinden,68.500 TL
nissan,micra,1.2 tekna,2012,benzin,otomatik,1198 cc,80 hp,126.000 km,"1 degisen, 1 boyali",takasa uygun degil,sahibinden,155.000 TL
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,43.000 km,belirtilmemis,takasa uygun,galeriden,183.000 TL
nissan,laurel altima,2.0,1991,lpg & benzin,duz,1801 - 2000 cm3,76 - 100 hp,139.000 km,belirtilmemis,takasa uygun,sahibinden,76.500 TL
nissan,primera,1.6 special edition,1999,lpg & benzin,duz,1597 cc,100 hp,239.000 km,1 degisen,takasa uygun degil,sahibinden,62.000 TL
nissan,micra,1.3 gx,1997,lpg & benzin,otomatik,,,177.000 km,tamami boyali,takasa uygun degil,sahibinden,53.000 TL
nissan,primera,2.2 td,2004,dizel,duz,2184 cc,138 hp,403.000 km,belirtilmemis,takasa uygun degil,sahibinden,68.000 TL
nissan,note,1.5 dci platinum,2014,dizel,otomatik,,,220.000 km,belirtilmemis,takasa uygun degil,sahibinden,230.000 TL
nissan,note,1.5 dci tekna,2014,dizel,duz,1461 cc,90 hp,124.000 km,"1 degisen, 3 boyali",takasa uygun,sahibinden,141.000 TL
nissan,primera,2.0 gt,1998,lpg & benzin,duz,1998 cc,150 hp,380.000 km,belirtilmemis,takasa uygun,galeriden,62.750 TL
nissan,note,1.5 dci tekna,2012,dizel,duz,,,220.800 km,belirtilmemis,takasa uygun degil,sahibinden,165.000 TL
nissan,primera,1.6 tekna,2006,benzin,duz,1596 cc,109 hp,170.000 km,6 boyali,takasa uygun degil,sahibinden,87.000 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,200.000 km,belirtilmemis,takasa uygun degil,sahibinden,97.000 TL
nissan,micra,1.2 passion,2007,benzin,otomatik,1240 cc,80 hp,145.000 km,belirtilmemis,takasa uygun,galeriden,112.500 TL
nissan,micra,1.2 match,2017,benzin,otomatik,1198 cc,80 hp,62.000 km,tamami orjinal,takasa uygun degil,sahibinden,191.900 TL
nissan,note,1.6 tekna,2008,benzin,otomatik,1598 cc,110 hp,223.000 km,12 boyali,takasa uygun degil,sahibinden,130.900 TL
nissan,almera,1.5 comfort,2001,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,250.000 km,belirtilmemis,takasa uygun,galeriden,67.000 TL
nissan,micra,1.6 c+c,2006,benzin,duz,1401 - 1600 cm3,101 - 125 hp,198.000 km,belirtilmemis,takasa uygun,galeriden,100.000 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,293.500 km,belirtilmemis,takasa uygun degil,sahibinden,67.000 TL
nissan,note,1.5 dci tekna,2008,dizel,duz,1461 cc,86 hp,182.000 km,belirtilmemis,takasa uygun degil,sahibinden,112.000 TL
nissan,note,1.6 tekna,2008,lpg & benzin,otomatik,1598 cc,110 hp,205.000 km,belirtilmemis,takasa uygun,galeriden,121.700 TL
nissan,micra,1.2 tekna,2004,benzin,duz,1240 cc,80 hp,217.000 km,belirtilmemis,takasa uygun,sahibinden,85.500 TL
nissan,primera,1.6 visia,2007,lpg & benzin,duz,1596 cc,109 hp,236.000 km,belirtilmemis,takasa uygun,sahibinden,82.750 TL
nissan,note,1.4 tekna,2007,benzin,duz,1386 cc,88 hp,153.000 km,belirtilmemis,takasa uygun degil,sahibinden,127.500 TL
nissan,sunny,1.6 slx,1991,lpg & benzin,duz,1597 cc,90 hp,219.000 km,3 degisen,takasa uygun degil,sahibinden,43.000 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,270.000 km,belirtilmemis,takasa uygun degil,sahibinden,61.500 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,219.000 km,1 boyali,takasa uygun degil,sahibinden,77.500 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,270.000 km,belirtilmemis,takasa uygun degil,sahibinden,61.500 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,270.000 km,belirtilmemis,takasa uygun degil,sahibinden,60.000 TL
nissan,bluebird,,1994,lpg & benzin,duz,,,350.000 km,belirtilmemis,takasa uygun degil,sahibinden,28.999 TL
nissan,primera,1.6 tekna,2005,benzin,duz,1596 cc,109 hp,279.800 km,belirtilmemis,takasa uygun degil,sahibinden,90.000 TL
nissan,note,1.4 visia,2007,benzin,duz,1386 cc,88 hp,132.000 km,"1 degisen, 9 boyali",takasa uygun degil,sahibinden,87.500 TL
nissan,micra,1.2 punch,2012,benzin,duz,1198 cc,80 hp,79.000 km,belirtilmemis,takasa uygun degil,sahibinden,135.000 TL
nissan,note,1.5 dci tekna,2012,dizel,duz,1461 cc,103 hp,220.800 km,tamami orjinal,takasa uygun degil,sahibinden,158.000 TL
nissan,micra,1.4 tekna,2005,lpg & benzin,otomatik,1386 cc,88 hp,109.000 km,5 boyali,takasa uygun,sahibinden,125.000 TL
nissan,primera,2.0 se,1999,lpg & benzin,otomatik,1801 - 2000 cm3,101 - 125 hp,185.000 km,tamami orjinal,takasa uygun,sahibinden,66.000 TL
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,265.000 km,5 boyali,takasa uygun degil,sahibinden,82.000 TL
nissan,primera,2.0 elegance,2000,lpg & benzin,otomatik,1998 cc,140 hp,254.000 km,"2 degisen, 8 boyali",takasa uygun degil,sahibinden,67.000 TL
nissan,note,1.2 tekna,2014,benzin,duz,1198 cc,80 hp,92.000 km,belirtilmemis,takasa uygun degil,sahibinden,135.000 TL
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,106 hp,270.000 km,belirtilmemis,takasa uygun,sahibinden,73.000 TL
nissan,micra,1.2 mood,2006,benzin,duz,1240 cc,65 hp,236.000 km,belirtilmemis,takasa uygun,sahibinden,76.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,250.000 km,"1 degisen, 9 boyali",takasa uygun degil,sahibinden,63.500 TL
nissan,primera,2.0 se,1997,lpg & benzin,duz,1998 cc,125 hp,252.000 km,1 degisen,takasa uygun degil,sahibinden,48.500 TL
nissan,almera,1.5 visia,2005,lpg & benzin,duz,1498 cc,98 hp,246.000 km,"1 degisen, 10 boyali",takasa uygun,galeriden,75.000 TL
nissan,primera,1.6 visia,2005,lpg & benzin,duz,1596 cc,109 hp,280.000 km,"1 degisen, 8 boyali",takasa uygun degil,sahibinden,80.000 TL
nissan,100 nx,nx,1991,lpg & benzin,duz,1597 cc,90 hp,109.000 km,belirtilmemis,takasa uygun degil,sahibinden,45.000 TL
nissan,almera,1.5 luxury,2003,lpg & benzin,duz,1497 cc,90 hp,263.000 km,belirtilmemis,takasa uygun,sahibinden,67.900 TL
nissan,almera,1.6 gx,2001,lpg & benzin,otomatik,1597 cc,100 hp,336.000 km,belirtilmemis,takasa uygun degil,sahibinden,76.000 TL
nissan,micra,1.2 tekna,2006,benzin,duz,1240 cc,80 hp,63.000 km,"2 degisen, 8 boyali",takasa uygun degil,sahibinden,92.000 TL
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,253.000 km,belirtilmemis,takasa uygun degil,sahibinden,59.000 TL
nissan,almera,1.5 comfort,2000,lpg & benzin,duz,1497 cc,90 hp,174.000 km,belirtilmemis,takasa uygun degil,sahibinden,85.000 TL
nissan,almera,2.2,2006,dizel,duz,2001 - 2500 cm3,126 - 150 hp,220.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,97.750 TL
nissan,primera,1.6 tekna,2005,benzin,duz,1596 cc,109 hp,155.000 km,belirtilmemis,takasa uygun degil,sahibinden,85.000 TL
nissan,micra,1.2 tekna,2004,lpg & benzin,duz,1240 cc,80 hp,267.000 km,"3 degisen, 7 boyali",takasa uygun degil,sahibinden,68.500 TL
nissan,almera,1.5 luxury,2000,lpg & benzin,duz,1497 cc,90 hp,270.000 km,belirtilmemis,takasa uygun degil,sahibinden,63.900 TL
nissan,maxima,2.0 qx,1996,lpg & benzin,duz,1995 cc,140 hp,310.000 km,2 boyali,takasa uygun degil,sahibinden,39.000 TL
nissan,primera,2.0 se,1997,lpg & benzin,duz,1998 cc,130 hp,401.000 km,belirtilmemis,takasa uygun degil,sahibinden,50.000 TL
nissan,laurel altima,2.0,1993,lpg & benzin,otomatik,1998 cc,125 hp,364.000 km,belirtilmemis,takasa uygun,sahibinden,35.500 TL
nissan,note,1.6 tekna,2008,lpg & benzin,otomatik,1598 cc,110 hp,83.500 km,tamami orjinal,takasa uygun degil,sahibinden,143.000 TL
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,310.000 km,belirtilmemis,takasa uygun,sahibinden,57.500 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,175.550 km,3 boyali,takasa uygun degil,sahibinden,87.800 TL
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,106 hp,266.000 km,"1 degisen, 9 boyali",takasa uygun degil,sahibinden,73.500 TL
nissan,almera,1.5 tekna,2005,lpg & benzin,duz,1498 cc,98 hp,257.000 km,belirtilmemis,takasa uygun,sahibinden,75.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,185.000 km,"1 degisen, 1 boyali",takasa uygun degil,sahibinden,75.000 TL
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,222.000 km,belirtilmemis,takasa uygun,sahibinden,80.000 TL
nissan,note,1.5 dci tekna,2011,dizel,duz,1461 cc,103 hp,171.000 km,1 boyali,takasa uygun degil,sahibinden,104.000 TL
nissan,primera,1.6 visia,2006,benzin,duz,1596 cc,109 hp,242.000 km,"3 degisen, 5 boyali",takasa uygun degil,galeriden,81.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,220.000 km,belirtilmemis,takasa uygun degil,sahibinden,63.500 TL
nissan,primera,2.0 gt,1998,lpg & benzin,duz,1801 - 2000 cm3,126 - 150 hp,280.000 km,belirtilmemis,takasa uygun degil,galeriden,62.750 TL
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,230.000 km,belirtilmemis,takasa uygun degil,sahibinden,80.750 TL
nissan,note,1.5 dci visia,2009,dizel,duz,1461 cc,86 hp,193.000 km,belirtilmemis,takasa uygun degil,sahibinden,110.000 TL
nissan,note,1.5 dci platinum,2014,dizel,duz,1461 cc,90 hp,169.000 km,belirtilmemis,takasa uygun,galeriden,109.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,150.500 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,85.500 TL
nissan,almera,1.5 tekna,2004,lpg & benzin,duz,,,183.000 km,1 boyali,takasa uygun degil,sahibinden,83.750 TL
nissan,note,1.4 tekna,2006,benzin,duz,1386 cc,88 hp,166.500 km,"2 degisen, 5 boyali",takasa uygun,sahibinden,79.500 TL
nissan,almera,1.5 luxury,2001,benzin,duz,1497 cc,90 hp,305.000 km,belirtilmemis,takasa uygun degil,sahibinden,63.000 TL
nissan,micra,1.2 mood,2008,benzin,duz,1240 cc,65 hp,142.000 km,3 boyali,takasa uygun degil,sahibinden,92.000 TL
nissan,micra,1.2 mood,2008,benzin,duz,1240 cc,65 hp,142.000 km,3 boyali,takasa uygun degil,sahibinden,92.000 TL
nissan,micra,1.3 magic,1999,benzin,duz,1275 cc,75 hp,166.000 km,3 boyali,takasa uygun,sahibinden,70.500 TL
nissan,micra,1.2 passion,2011,benzin,otomatik,1240 cc,80 hp,76.000 km,5 boyali,takasa uygun degil,galeriden,135.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,245.000 km,"2 degisen, 8 boyali",takasa uygun,sahibinden,67.000 TL
nissan,micra,1.2 mood,2005,benzin,duz,1240 cc,65 hp,96.000 km,belirtilmemis,takasa uygun degil,sahibinden,90.000 TL
nissan,micra,1.2 tekna,2011,benzin,duz,1198 cc,80 hp,84.000 km,belirtilmemis,takasa uygun,galeriden,115.750 TL
nissan,micra,1.2 punch,2012,benzin,otomatik,1198 cc,80 hp,79.250 km,11 boyali,takasa uygun degil,sahibinden,139.750 TL
nissan,almera,1.5 tekna,2004,lpg & benzin,duz,1498 cc,98 hp,126.000 km,tamami orjinal,takasa uygun,sahibinden,93.000 TL
nissan,micra,1.3 magic,2000,lpg & benzin,otomatik,1275 cc,75 hp,201.000 km,belirtilmemis,takasa uygun degil,galeriden,65.000 TL
nissan,note,1.5 dci tekna,2011,dizel,duz,1461 cc,103 hp,155.000 km,6 boyali,takasa uygun degil,sahibinden,115.000 TL
nissan,micra,1.2 passion,2005,lpg & benzin,duz,1240 cc,80 hp,108.000 km,belirtilmemis,takasa uygun degil,sahibinden,81.000 TL
nissan,micra,1.2 passion,2011,benzin,duz,1240 cc,80 hp,75.000 km,belirtilmemis,takasa uygun degil,sahibinden,115.000 TL
nissan,almera,1.5 tekna,2007,lpg & benzin,duz,1498 cc,98 hp,211.000 km,belirtilmemis,takasa uygun degil,galeriden,77.500 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,316.000 km,belirtilmemis,takasa uygun degil,sahibinden,73.000 TL
nissan,almera,1.5 luxury,2001,lpg & benzin,duz,1497 cc,90 hp,320.496 km,belirtilmemis,takasa uygun,sahibinden,63.900 TL
nissan,almera,1.5 tekna,2006,benzin,duz,1498 cc,98 hp,123.750 km,"3 degisen, 4 boyali",takasa uygun degil,sahibinden,84.000 TL
nissan,micra,1.2 tekna,2005,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,145.000 km,belirtilmemis,takasa uygun degil,galeriden,117.900 TL
nissan,primera,1.6 visia,2005,lpg & benzin,duz,1596 cc,109 hp,317.000 km,belirtilmemis,takasa uygun degil,sahibinden,75.000 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1597 cc,100 hp,316.000 km,belirtilmemis,takasa uygun,sahibinden,73.000 TL
nissan,micra,1.2 street,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,32.000 km,belirtilmemis,takasa uygun,galeriden,154.500 TL
nissan,primera,1.6,2000,lpg & benzin,duz,1597 cc,100 hp,255.000 km,belirtilmemis,takasa uygun,galeriden,60.000 TL
