marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat,url
nissan,micra,1.2 tekna,2004,benzin,otomatik,1240 cc,80 hp,136.000 km,belirtilmemis,takasa uygun degil,galeriden,117.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/otomix-2004-nissan-micra-1-2-tekna-tam-otomatik-full-full/16512880
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,61.000 km,belirtilmemis,takasa uygun,galeriden,202.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/suzuki-ertugrul-plazadan-garantili-boyasiz-otm-lpgli-2017-match/18624582
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,33.000 km,belirtilmemis,takasa uygun,galeriden,202.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/suzuki-ertugrul-plazadan-otomatik-33-binkm-2018-micra-1-2-match/18624581
nissan,primera,2.0 se,1999,lpg & benzin,duz,1801 - 2000 cm3,126 - 150 hp,320.000 km,belirtilmemis,takasa uygun,galeriden,57.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-2-0-se/kvm-motorsdan-klimali-primera-se/18182891
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,100 hp,258.000 km,4 boyali,takasa uygun,sahibinden,62.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-comfort/sahibinden-nissan-primera-1-6-comfort-2001-model/18188337
nissan,almera,1.5 tekna,2004,lpg & benzin,duz,1498 cc,98 hp,183.000 km,belirtilmemis,takasa uygun,sahibinden,78.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2004-model/17826086
nissan,micra,1.2 punch,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,54.170 km,belirtilmemis,takasa uygun,galeriden,157.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-punch/2012-model-micra-1-2-punch-cvt-kredi-takas-imkani/18622086
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,106 hp,160.000 km,"3 degisen, 4 boyali",takasa uygun degil,sahibinden,74.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-comfort/sahibinden-nissan-primera-1-6-comfort-2001-model/18621029
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,250.000 km,1 degisen,takasa uygun,galeriden,65.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-gx/galeriden-nissan-primera-1-6-gx-1998-model-konya/18201889
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,88.056 km,belirtilmemis,takasa uygun,yetkili bayiden,179.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/vw-bayii-bati-dan-2017-micra-1-2-street-cvt/18620495
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,450.000 km,"1 degisen, 10 boyali",takasa uygun,galeriden,49.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-gx/nur-galeriden-nissan-primera-1-6-gx/18472612
nissan,micra,1.0 ig-t platinum,2019,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,28.826 km,belirtilmemis,takasa uygun,yetkili bayiden,249.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-0-ig-t-platinum/asal-otomotivden-2019-nissan-micra-1-0-platinum-at/18620095
nissan,pulsar,1.2 tekna,2016,benzin,yari otomatik,1200 cm3' e kadar,101 - 125 hp,118.000 km,belirtilmemis,takasa uygun,galeriden,157.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-pulsar-1-2-tekna/2016-model-pulsar-otomatik-vites/18619977
nissan,sunny,1.6 slx,1991,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,389.000 km,belirtilmemis,takasa uygun degil,galeriden,48.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-sunny-1-6-slx/klimali-bakimli-masrafsiz-lpg-li/18619804
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,296.000 km,"4 degisen, 3 boyali",takasa uygun degil,sahibinden,49.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-slx/sahibinden-nissan-primera-1-6-slx-1998-model/18618985
nissan,primera,1.6 visia,2006,lpg & benzin,duz,1596 cc,109 hp,180.256 km,1 boyali,takasa uygun degil,sahibinden,95.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-visia/sahibinden-nissan-primera-1-6-visia-2006-model/18616351
nissan,almera,1.5 comfort,2002,lpg & benzin,duz,1497 cc,90 hp,135.000 km,belirtilmemis,takasa uygun degil,sahibinden,83.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-comfort/sahibinden-nissan-almera-1-5-comfort-2002-model/18618693
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,217.000 km,belirtilmemis,takasa uygun,sahibinden,78.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-bakimli-temiz-nissan-almera-1-5-tekna-2006-model/18614860
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,298.000 km,"2 degisen, 5 boyali",takasa uygun degil,sahibinden,52.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-2-0-se/sahibinden-nissan-primera-2-0-se-1998-model/18615337
nissan,micra,1.2 tekna,2004,benzin,otomatik,1240 cc,80 hp,179.000 km,"1 degisen, 3 boyali",takasa uygun,galeriden,95.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/otomatik-micra/18593142
nissan,almera,1.5 luxury,2003,lpg & benzin,duz,1497 cc,90 hp,219.000 km,belirtilmemis,takasa uygun,galeriden,71.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-almera-1-5-luxury/ates-den-2003-almera-sedan-1-5-luxury-degisensiz-219-000km-temiz/18199958
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,284.000 km,belirtilmemis,takasa uygun,galeriden,71.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-comfort/aydinlar-otomotiv-den-nadir-temizlikte-nissan-primera-comford/18617734
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,20.000 km,belirtilmemis,takasa uygun,galeriden,217.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/2017-nissan-micra-1-2-match-otomatik-tekno-mavi-20-o00km-hatasiz/18617674
nissan,sunny,1.6 ex,1994,lpg & benzin,duz,,,400.000 km,belirtilmemis,takasa uygun degil,sahibinden,39.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-sunny-1-6-ex/sahibinden-nissan-sunny-1-6-ex-1996-model/13199377
nissan,maxima,2.0 qx,1996,lpg & benzin,otomatik,1801 - 2000 cm3,126 - 150 hp,435.000 km,belirtilmemis,takasa uygun,sahibinden,77.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-maxima-2-0-qx/sahibinden-nissan-maxima-2-0-qx-1996-model/17009111
nissan,micra,1.2 street,2017,benzin,otomatik,1198 cc,80 hp,115.830 km,2 boyali,takasa uygun degil,galeriden,172.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/ismail-calmaz-otomotiv-guvencesi-ile-aninda-taksitle/18615863
nissan,almera,1.5 tekna,2004,lpg & benzin,duz,1498 cc,98 hp,366.000 km,belirtilmemis,takasa uygun degil,galeriden,77.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-almera-1-5-tekna/galeriden-nissan-almera-1-5-tekna-2004-model-istanbul/18182026
nissan,micra,1.2 match,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,76.000 km,1 boyali,takasa uygun,yetkili bayiden,193.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/nissan-kuzeyden-2016-micra-1-2-cvt-match-76-000kmde/18614393
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,294.000 km,belirtilmemis,takasa uygun,galeriden,74.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-comfort/2000-model-nissan-primera-1-6-motor-lpg-li-comfort-paket/18597769
nissan,note,1.4 tekna,2010,lpg & benzin,duz,1386 cc,88 hp,187.000 km,3 boyali,takasa uygun,sahibinden,112.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-4-tekna/sahibinden-nissan-note-1-4-tekna-2010-model/17797278
